id,fonte,codigo,nome,municipio,rio,bacia,lat,lon,tipo,automatica,cota_atencao_cm,cota_alerta_cm,cota_inundacao_cm,nivel_cm,vazao_m3s,chuva_1h,chuva_24h,chuva_72h,medido_em,situacao,cor,observacao,url_origem,atualizado_em
ANA_03152051,ANA telemetria,03152051,Estância Da Graça,Pelotas,,Não catalogada (ANA),-31.6258,-52.23,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=03152051&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_02952065,ANA telemetria,02952065,Faz. São José Linha Carvalho,Sinimbu,,Não catalogada (ANA),-29.3822,-52.7158,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=02952065&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_02955024,ANA telemetria,02955024,Fazenda Cordilheira S.F. De Assis,São Francisco De Assis,,Não catalogada (ANA),-29.4264,-55.1583,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=02955024&dataInicio=&dataFim=,2026-08-24 19:45:51
SACE_uruguai_69,SACE/SGB,3055003,Fazenda Encerra,Fazenda Encerra,,Bacia do Rio Uruguai,-30.6956,-55.8414,PLUVIOMETRICA,1,,,,,,0.0,0.0,0.0,2026-08-24 16:45:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=69&s=&sr=307,2026-08-24 19:45:51
ANA_02954044,ANA telemetria,02954044,Fazenda Santa Tereza S.F. De Assis,São Francisco De Assis,,Não catalogada (ANA),-29.3278,-54.9475,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=02954044&dataInicio=&dataFim=,2026-08-24 19:45:51
SACE_cai_130,SACE/SGB,871650,Feliz,Feliz,,Bacia do Rio Caí,-29.45547,-51.30632,FLUVIOMETRICA,1,500.0,,,145.0,,0.0,0.0,0.0,2026-08-24 11:00:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=cai&pm=130&s=200&sr=199,2026-08-24 19:45:51
SACE_guaiba_24,SACE/SGB,87376000,Foz do Paranhana,Foz do Paranhana,dos Sinos,Bacia do Guaíba,-29.6858,-50.8122,FLUVIOMETRICA,1,450.0,550.0,700.0,108.0,,,,,2026-08-24 10:00:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=guaiba&pm=24&s=18&sr=19,2026-08-24 19:45:51
SACE_uruguai_34,SACE/SGB,7555000,Garruchos,Garruchos,Uruguai,Bacia do Rio Uruguai,-28.1825,-55.64333,FLUVIOMETRICA,1,1300.0,1400.0,1500.0,262.0,,0.0,0.0,0.0,2026-08-24 15:30:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=34&s=184&sr=185,2026-08-24 19:45:51
SACE_taquari_31,SACE/SGB,2851044,Guaporé,Guaporé,,Bacia do Taquari-Antas,-28.86871,-51.90155,PLUVIOMETRICA,1,,,,,,0.0,0.0,0.0,2026-08-24 16:30:00,Sem Informação,gray,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=taquari&pm=31&s=&sr=44,2026-08-24 19:45:51
SACE_guaiba_65,SACE/SGB,02851044,Guaporé,Guaporé,,Bacia do Guaíba,-28.84444,-51.87916,PLUVIOMETRICA,1,,,,,,0.0,0.0,0.0,2026-08-24 16:30:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=guaiba&pm=65&s=&sr=69,2026-08-24 19:45:51
